nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,42049,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,108371,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,48017,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,48399,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,33166,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,88628,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,18874,BENGKULU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,90714,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,12240,KEP. BANGKA BELITUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,14468,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,62254,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,489752,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,338330,JAWA TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,26543,DI YOGYAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,393731,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,110355,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,3900,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,54109,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,3668,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,30618,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,20803,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,39455,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,32184,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,0,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,8353,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2012,Tahun,22799,SULAWESI TENGAH
